City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tweed heads,-28.1817,153.547,72.41,57,5,10.36,AU,1692584380
1,albany,42.6001,-73.9662,64.99,87,66,2.98,US,1692584380
2,sitka,57.0531,-135.33,66.09,59,20,17.27,US,1692584089
3,bilibino,68.0546,166.4372,48.67,49,43,1.66,RU,1692584105
4,severo-yeniseyskiy,60.3725,93.0408,54.14,86,100,2.51,RU,1692584383
5,puerto natales,-51.7236,-72.4875,28.69,93,100,1.92,CL,1692584081
6,waitangi,-43.9535,-176.5597,52.83,96,100,3.0,NZ,1692584085
7,placido de castro,-10.3353,-67.1856,86.16,48,66,4.16,BR,1692584385
8,qaqortoq,60.7167,-46.0333,47.41,70,0,1.3,GL,1692584088
9,grytviken,-54.2811,-36.5092,22.53,64,59,4.76,GS,1692584100
10,roses,42.262,3.1769,78.73,67,1,3.0,ES,1692584387
11,miquelon,47.0975,-56.3814,64.4,94,96,12.33,PM,1692584095
12,talnakh,69.4865,88.3972,58.21,78,100,2.64,RU,1692584137
13,mountain top,40.1068,-75.9527,68.56,77,0,0.0,US,1692584388
14,aasiaat,68.7098,-52.8699,40.66,96,94,7.76,GL,1692584251
15,touros,-5.1989,-35.4608,76.17,89,62,13.76,BR,1692583835
16,port-aux-francais,-49.35,70.2167,33.75,66,71,17.81,TF,1692584092
17,olonkinbyen,70.9221,-8.7187,42.96,98,100,27.36,SJ,1692584094
18,bethel,41.3712,-73.414,68.61,80,0,3.44,US,1692584136
19,uige,-7.6087,15.0613,65.46,86,98,2.71,AO,1692584395
20,blackmans bay,-43.0167,147.3167,62.46,53,84,9.06,AU,1692584083
21,karratha,-20.7377,116.8463,82.4,19,5,10.27,AU,1692584408
22,santa maria del oro,25.9333,-105.3667,78.15,29,100,12.84,MX,1692584409
23,puerto ayora,-0.7393,-90.3518,76.55,89,95,10.0,EC,1692584109
24,walvis bay,-22.9575,14.5053,52.09,75,0,8.52,NA,1692584411
25,west island,-12.1568,96.8225,80.58,78,40,12.66,CC,1692584129
26,ushuaia,-54.8,-68.3,40.66,56,40,8.05,AR,1692584085
27,praia da vitoria,38.7333,-27.0667,70.05,100,75,9.24,PT,1692584223
28,formosa,-26.1775,-58.1781,65.97,88,0,3.44,AR,1692584413
29,jinchang,38.4953,102.1739,77.2,17,0,5.37,CN,1692584414
30,saudarkrokur,65.7461,-19.6394,43.7,88,65,12.97,IS,1692584349
31,sinabang,2.4803,96.3801,80.92,80,100,6.98,ID,1692584416
32,middelburg,-25.7751,29.4648,57.74,46,29,7.07,ZA,1692584417
33,flin flon,54.7682,-101.865,64.45,49,93,3.91,CA,1692584418
34,tiksi,71.6872,128.8694,38.17,93,100,14.94,RU,1692584171
35,ugoofaaru,5.6667,73.0,82.35,70,0,11.77,MV,1692584420
36,georgetown,5.4112,100.3354,84.63,79,20,4.61,MY,1692584001
37,tralee,52.2704,-9.7026,57.34,95,9,6.31,IE,1692584421
38,susuman,62.7833,148.1667,43.18,89,100,4.32,RU,1692584246
39,anadyr,64.75,177.4833,55.0,47,20,8.95,RU,1692584193
40,isafjordur,66.0755,-23.124,44.26,77,3,3.69,IS,1692584080
41,edinburgh of the seven seas,-37.0676,-12.3116,57.9,88,100,34.25,SH,1692584090
42,ketchikan,55.3422,-131.6461,63.07,72,75,9.22,US,1692584426
43,hermanus,-34.4187,19.2345,53.8,87,86,27.31,ZA,1692584084
44,carnarvon,-24.8667,113.6333,64.67,56,11,20.47,AU,1692584328
45,hithadhoo,-0.6,73.0833,81.03,77,86,4.54,MV,1692584279
46,long jetty,-33.3667,151.4833,68.85,54,62,6.17,AU,1692584430
47,port alfred,-33.5906,26.891,63.75,34,0,11.72,ZA,1692584174
48,tarnogskiy gorodok,60.4997,43.5761,45.14,85,83,4.59,RU,1692584432
49,beboto,8.2668,16.939,70.63,97,100,1.32,TD,1692584434
50,veraval,20.9,70.3667,79.72,82,100,12.88,IN,1692584434
51,port elizabeth,-33.918,25.5701,59.29,94,40,16.11,ZA,1692583974
52,abay,49.6311,72.8539,64.78,63,5,1.36,KZ,1692584436
53,bredasdorp,-34.5322,20.0403,56.07,80,57,17.09,ZA,1692584106
54,neiafu,-18.65,-173.9833,81.28,78,20,8.05,TO,1692584438
55,winburg,-28.518,27.0093,44.6,16,0,5.41,ZA,1692584438
56,yellowknife,62.456,-114.3525,61.41,96,75,5.75,CA,1692584087
57,vlahita,46.35,25.5167,58.71,79,6,3.69,RO,1692584440
58,hood river,45.7054,-121.5215,80.8,27,100,1.99,US,1692584438
59,longyearbyen,78.2186,15.6401,40.84,81,100,2.3,SJ,1692584207
60,dellys,36.9172,3.9131,76.48,81,0,6.58,DZ,1692584442
61,kodiak,57.79,-152.4072,58.84,75,99,5.12,US,1692584124
62,agua dulce,18.1333,-94.1333,79.05,86,12,8.43,MX,1692584443
63,wailua homesteads,22.0669,-159.378,82.44,73,40,14.97,US,1692584132
64,kingston,17.997,-76.7936,84.4,87,20,6.91,JM,1692584123
65,cidade velha,14.9167,-23.6167,79.27,89,75,3.44,CV,1692584445
66,hammerfest,70.6634,23.6821,41.45,93,100,6.91,NO,1692584179
67,puerto armuelles,8.2833,-82.8667,77.09,87,100,4.0,PA,1692584297
68,vernon,50.2581,-119.2691,74.08,33,67,0.0,CA,1692584371
69,kuanda,56.3161,116.0806,55.81,85,98,4.56,RU,1692584447
70,ribeira grande,38.5167,-28.7,71.78,82,35,15.01,PT,1692584247
71,college,64.8569,-147.8028,53.38,91,100,13.8,US,1692584166
72,ribeira brava,32.65,-17.0667,77.09,49,17,1.99,PT,1692584449
73,alva,56.1528,-3.8051,60.24,92,41,6.4,GB,1692584450
74,tromso,69.6496,18.957,46.42,87,93,3.44,NO,1692584451
75,bandarbeyla,9.4942,50.8122,77.0,82,20,22.5,SO,1692584452
76,weno,7.4515,151.8468,84.15,79,100,12.66,FM,1692584099
77,dudinka,69.4058,86.1778,58.62,69,100,3.15,RU,1692584195
78,uturoa,-16.7333,-151.4333,77.49,76,68,16.11,PF,1692584135
79,vilyuchinsk,52.9306,158.4028,59.25,93,99,0.72,RU,1692584178
80,port mathurin,-19.6833,63.4167,73.33,80,35,14.2,MU,1692584099
81,yeonggwang,35.275,126.5094,91.06,64,44,11.59,KR,1692584457
82,toppenish,46.3774,-120.3087,81.12,13,100,7.85,US,1692584458
83,ambon,-3.6954,128.1814,77.14,88,75,3.44,ID,1692584458
84,iqaluit,63.7506,-68.5145,38.7,100,100,0.0,CA,1692584111
85,thompson,55.7435,-97.8558,59.16,94,75,5.75,CA,1692584152
86,papatowai,-46.5619,169.4708,48.04,60,42,13.6,NZ,1692584149
87,sao joao da barra,-21.6403,-41.0511,70.92,94,92,6.08,BR,1692584462
88,tocopilla,-22.092,-70.1979,64.89,68,11,3.74,CL,1692584463
89,avarua,-21.2078,-159.775,73.45,56,100,6.91,CK,1692584209
90,galliano,29.4422,-90.2992,87.19,62,0,5.75,US,1692584465
91,haiku-pauwela,20.9219,-156.3051,82.26,66,75,18.41,US,1692584130
92,canete,-37.8,-73.4,55.26,98,100,9.44,CL,1692584467
93,gurupi,-11.7292,-49.0686,85.62,28,69,3.11,BR,1692584467
94,lebu,-37.6167,-73.65,54.93,97,100,15.1,CL,1692584145
95,adamstown,-25.066,-130.1015,65.32,59,100,20.15,PN,1692584097
96,hamilton,39.1834,-84.5333,79.9,77,0,5.75,US,1692584260
97,pratt,37.6439,-98.7376,93.38,31,0,4.61,US,1692584472
98,quellon,-43.1167,-73.6167,50.25,93,100,6.91,CL,1692584473
99,punta arenas,-53.15,-70.9167,36.88,89,87,10.11,CL,1692583861
100,lalsot,26.5667,76.3333,85.98,67,98,5.41,IN,1692584474
101,tokar,18.4254,37.729,88.93,55,83,12.53,SD,1692584475
102,luderitz,-26.6481,15.1594,53.71,60,0,6.93,NA,1692584156
103,valdivia,-39.8142,-73.2459,53.69,98,100,6.58,CL,1692584476
104,saipan,15.1355,145.701,86.65,100,40,8.05,MP,1692584183
105,novodvinsk,64.4165,40.8122,47.52,80,100,6.73,RU,1692584478
106,saynshand,44.8824,110.1163,60.49,61,42,20.51,MN,1692584479
107,san patricio,28.017,-97.5169,86.29,56,100,10.22,US,1692584172
108,hadibu,12.65,54.0333,79.18,81,28,14.03,YE,1692584481
109,moose jaw,50.4001,-105.5344,61.05,63,100,11.5,CA,1692584481
110,qusmuryn,52.4503,64.6311,65.88,78,24,2.35,KZ,1692584482
111,minot air force base,48.4209,-101.3391,57.15,97,75,5.75,US,1692584169
112,bel ombre,-4.6167,55.4167,78.64,83,20,11.5,SC,1692584483
113,el rama,12.1596,-84.2195,76.24,96,96,3.36,NI,1692584484
114,ust-nera,64.5667,143.2,44.24,97,100,6.38,RU,1692584082
115,nyagan,62.1406,65.3936,52.07,76,96,3.89,RU,1692584485
116,jebrail,39.3992,47.0283,71.62,41,3,2.26,AZ,1692584486
117,saint-philippe,-21.3585,55.7679,65.79,75,0,5.99,RE,1692584315
118,beaufort west,-32.3567,22.583,53.02,31,13,18.99,ZA,1692584487
119,dunedin,-45.8742,170.5036,49.8,53,73,14.0,NZ,1692584293
120,broome,42.2506,-75.833,68.38,87,3,3.0,US,1692584489
121,sanya,18.2431,109.505,86.16,74,40,4.47,CN,1692584489
122,margaret river,-33.95,115.0667,56.82,56,13,10.04,AU,1692584094
123,pangody,65.85,74.4859,51.28,62,45,6.69,RU,1692584340
124,yuzhno-kurilsk,44.0306,145.8556,72.05,88,99,2.42,RU,1692584272
125,mata de sao joao,-12.5303,-38.2992,78.55,98,22,2.89,BR,1692584491
126,saint-denis,48.9167,2.3333,65.86,77,0,6.91,FR,1692584492
127,san antonio de pale,-1.4014,5.6325,74.08,79,100,9.86,GQ,1692584214
128,sanctuary point,-35.1114,150.629,65.59,45,28,5.41,AU,1692584493
129,tolanaro,-25.0319,46.9987,66.87,86,100,4.61,MG,1692584269
130,jawf al maqbabah,13.8378,45.8349,80.55,59,97,2.64,YE,1692584495
131,kasongo-lunda,-6.4667,16.8167,72.54,72,84,3.29,CD,1692584496
132,upper grand lagoon,30.1633,-85.7408,85.75,72,0,10.36,US,1692584496
133,utrik,11.2278,169.8474,83.55,75,100,15.57,MH,1692584250
134,dodoma,-6.1722,35.7395,64.13,65,8,6.76,TZ,1692584497
